N°,TIPO,FECHA,MODALIDAD,DIRECCIÓN,SECTOR,CATEGORIA
33,APOYO A BOMBEROS,29/10/2018 12:22,Exceso de velocidad,"CA. FUENTES, MANUEL ATANASIO, SAN ISIDRO",4-1,
34,APOYO A BOMBEROS,29/10/2018 11:37,Exceso de velocidad,"AV. DE RIBERA, NICOLÁS N° 0948, SAN ISIDRO",1-5,
35,APOYO A BOMBEROS,29/10/2018 10:25,Exceso de velocidad,"AV. DEL PARQUE NORTE N° 0252, SAN ISIDRO",5-2,
36,APOYO A BOMBEROS,27/10/2018 08:47,Imprudencia del conductor,"CA. LA TORRE, BALTAZAR, SAN ISIDRO",1-4,
37,APOYO A BOMBEROS,26/10/2018 22:19,Imprudencia del conductor,"AV. DOS DE MAYO N° 0670, SAN ISIDRO",3-1,
38,APOYO A BOMBEROS,26/10/2018 18:26,Imprudencia del conductor,"CA. REYES, CORONEL ANDRÉS, SAN ISIDRO",4-2,
39,APOYO A BOMBEROS,26/10/2018 17:58,Imprudencia del conductor,"AV. DOS DE MAYO, SAN ISIDRO",1-2,
40,APOYO A BOMBEROS,26/10/2018 17:11,Imprudencia del conductor,"AV. PASEO PARODI, SAN ISIDRO",4-2,
41,APOYO A BOMBEROS,26/10/2018 16:09,Imprudencia del conductor,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
42,APOYO A BOMBEROS,26/10/2018 16:02,Imprudencia del conductor,"CA. LOS EUCALIPTOS, SAN ISIDRO",1-5,
43,APOYO A BOMBEROS,26/10/2018 15:56,Imprudencia del conductor,"AV. SALAVERRY, GENERAL N° 2555, SAN ISIDRO",1-1,
44,APOYO A BOMBEROS,26/10/2018 13:08,Imprudencia del conductor,"CA. DE CERVANTES SAAVEDRA, MIGUEL, SAN ISIDRO",2-5,
45,APOYO A BOMBEROS,26/10/2018 13:02,Exceso de velocidad,"CA. LAS FLORES, SAN ISIDRO",1-5,
46,APOYO A BOMBEROS,26/10/2018 11:43,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",5-1,
47,APOYO A BOMBEROS,26/10/2018 08:34,Imprudencia del conductor,"CA. LAS BEGONIAS, SAN ISIDRO",4-2,
48,APOYO A BOMBEROS,26/10/2018 07:49,Exceso de velocidad,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO",1-6,
49,APOYO A BOMBEROS,26/10/2018 02:03,Exceso de velocidad,"CA. LOS CASTAÑOS, SAN ISIDRO",1-1,
50,APOYO A BOMBEROS,25/10/2018 23:39,Falta de luces,"AV. PETIT THOUARS N° 3765, SAN ISIDRO",4-3,
51,APOYO A BOMBEROS,25/10/2018 22:17,Imprudencia del conductor,"CA. FUENTES, MANUEL ATANASIO N° 0170, SAN ISIDRO",4-1,
52,APOYO A BOMBEROS,25/10/2018 16:27,Imprudencia del conductor,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
53,APOYO A BOMBEROS,25/10/2018 16:10,Imprudencia del conductor,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO",4-4,
54,APOYO A BOMBEROS,25/10/2018 10:00,Imprudencia del conductor,"AV. BELEN N° 0301, SAN ISIDRO",2-6,
55,APOYO A BOMBEROS,25/10/2018 08:02,Exceso de velocidad,"CA. CLEMENTE X, SAN ISIDRO",1-3,
56,APOYO A BOMBEROS,25/10/2018 07:04,Imprudencia del conductor,"AV. SANTO TORIBIO N° 0173 PIS 1, SAN ISIDRO",3-2,
57,APOYO A BOMBEROS,24/10/2018 19:36,Exceso de velocidad,"AV. PRADO ESTE, JAVIER N° 0309, SAN ISIDRO",4-1,
58,APOYO A BOMBEROS,24/10/2018 19:36,Exceso de velocidad,"AV. PRADO ESTE, JAVIER N° 0309, SAN ISIDRO",4-1,
59,APOYO A BOMBEROS,24/10/2018 17:46,Imprudencia del conductor,"AV. LOS CONQUISTADORES N° 0948, SAN ISIDRO",3-2,
60,APOYO A BOMBEROS,24/10/2018 15:03,Exceso de velocidad,"CA. LOS LIBERTADORES N° 0105, SAN ISIDRO",3-2,
61,APOYO A BOMBEROS,24/10/2018 14:45,Imprudencia del conductor,"COSTA VERDE N° SN, SAN ISIDRO",2-7,
62,APOYO A BOMBEROS,24/10/2018 13:42,Imprudencia del conductor,"CA. LA PERRICHOLI, SAN ISIDRO",4-1,
63,APOYO A BOMBEROS,24/10/2018 11:48,Exceso de velocidad,"AV. CAMINO REAL, SAN ISIDRO",3-2,
64,APOYO A BOMBEROS,23/10/2018 22:13,Imprudencia del conductor,"CA. SALAZAR, ALFÉREZ ALFREDO, SAN ISIDRO",2-5,
65,APOYO A BOMBEROS,23/10/2018 16:12,Exceso de velocidad,"CA. LA HABANA N° 0192, SAN ISIDRO",4-3,
66,APOYO A BOMBEROS,23/10/2018 10:41,Imprudencia del conductor,"AV. DOS DE MAYO, SAN ISIDRO",1-1,
67,APOYO A BOMBEROS,22/10/2018 17:35,Imprudencia del conductor,"AV. DE ARONA, JUAN, SAN ISIDRO",4-1,
68,APOYO A BOMBEROS,22/10/2018 17:00,Imprudencia del conductor,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
69,APOYO A BOMBEROS,22/10/2018 16:25,Falla mecánica,"CA. PALMA, RICARDO N° 0267, SAN ISIDRO",3-1,
70,APOYO A BOMBEROS,22/10/2018 15:19,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
71,APOYO A BOMBEROS,22/10/2018 14:17,Imprudencia del conductor,"AV. PARDO Y ALIAGA, FELIPE, SAN ISIDRO",2-5,
72,APOYO A BOMBEROS,21/10/2018 11:18,Imprudencia del conductor,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
73,APOYO A BOMBEROS,20/10/2018 22:00,Imprudencia del conductor,"CA. LAS MORERAS, SAN ISIDRO",1-4,
74,APOYO A BOMBEROS,19/10/2018 15:17,Exceso de velocidad,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
75,APOYO A BOMBEROS,19/10/2018 15:16,Imprudencia del conductor,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
76,APOYO A BOMBEROS,19/10/2018 15:05,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO",3-1,
77,APOYO A BOMBEROS,19/10/2018 08:14,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",5-2,
78,APOYO A BOMBEROS,19/10/2018 07:58,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-3,
79,APOYO A BOMBEROS,19/10/2018 07:24,Imprudencia del conductor,"CA. BURGOS, SAN ISIDRO",1-1,
80,APOYO A BOMBEROS,18/10/2018 19:48,Imprudencia del conductor,"AV. PEZET, GENERAL JUAN ANTONIO, SAN ISIDRO",2-5,
81,APOYO A BOMBEROS,18/10/2018 18:08,Imprudencia del conductor,"AV. MIRO QUESADA, AURELIO N° 1120, SAN ISIDRO",1-4,
82,APOYO A BOMBEROS,18/10/2018 17:49,Exceso de velocidad,"CA. LA TORRE, BALTAZAR, SAN ISIDRO",2-2,
83,APOYO A BOMBEROS,18/10/2018 16:30,Imprudencia del conductor,"AV. DEL PARQUE SUR, SAN ISIDRO",5-4,
84,APOYO A BOMBEROS,17/10/2018 18:30,Imprudencia del conductor,"AV. DE RIBERA, NICOLÁS, SAN ISIDRO",1-5,
85,APOYO A BOMBEROS,17/10/2018 18:27,Exceso de velocidad,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
86,APOYO A BOMBEROS,17/10/2018 12:40,Imprudencia del conductor,"CA. MAURTUA, VICTOR A. N° 0200, SAN ISIDRO",2-6,
87,APOYO A BOMBEROS,17/10/2018 11:35,Exceso de velocidad,"AV. GUARDIA CIVIL N° 0460, SAN ISIDRO",5-3,
88,APOYO A BOMBEROS,17/10/2018 00:10,Imprudencia del conductor,"AV. AREQUIPA, SAN ISIDRO",4-1,
89,APOYO A BOMBEROS,16/10/2018 21:19,Exceso de velocidad,"AV. CARRIQUIRY MAURER, PABLO N° 0498, SAN ISIDRO",5-1,
90,APOYO A BOMBEROS,16/10/2018 10:32,Imprudencia del conductor,"CA. LA TORRE, BALTAZAR, SAN ISIDRO",2-2,
91,APOYO A BOMBEROS,15/10/2018 14:19,Imprudencia del conductor,"AV. LOS CONQUISTADORES, SAN ISIDRO",2-6,
92,APOYO A BOMBEROS,15/10/2018 13:09,Imprudencia del conductor,"AV. DEL CAMPO, ALBERTO, SAN ISIDRO",2-2,
93,APOYO A BOMBEROS,15/10/2018 12:14,Imprudencia del conductor,"AV. LOS CONQUISTADORES, SAN ISIDRO",3-3,
94,APOYO A BOMBEROS,15/10/2018 11:17,Falla mecánica,"PQ. MIGUEL DAMMERT MUELLE, SAN ISIDRO",1-5,
95,APOYO A BOMBEROS,15/10/2018 10:30,Imprudencia del conductor,"AV. AREQUIPA, SAN ISIDRO",3-1,
96,APOYO A BOMBEROS,15/10/2018 09:20,Ebriedad del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-5,
97,APOYO A BOMBEROS,14/10/2018 19:28,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-5,
98,APOYO A BOMBEROS,12/10/2018 20:09,Exceso de velocidad,"CA. LAS GROJILLAS N° 0296, SAN ISIDRO",5-2,
99,APOYO A BOMBEROS,12/10/2018 10:14,Imprudencia del conductor,"AV. DOS DE MAYO, SAN ISIDRO",3-1,
100,APOYO A BOMBEROS,12/10/2018 01:55,Pista en mal estado,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-3,
101,APOYO A BOMBEROS,11/10/2018 09:24,Imprudencia del conductor,"AV. CANAVAL MOREYRA, ENRIQUE, SAN ISIDRO",4-4,
102,APOYO A BOMBEROS,11/10/2018 08:48,Imprudencia del conductor,"AV. PETIT THOUARS N° 3969, SAN ISIDRO",4-3,
103,APOYO A BOMBEROS,11/10/2018 07:26,Imprudencia del conductor,"CA. FUENTES, MANUEL ATANASIO, SAN ISIDRO",4-1,
104,APOYO A BOMBEROS,10/10/2018 18:34,Imprudencia del conductor,"AV. PRESCOTT, GUILLERMO, SAN ISIDRO",1-1,
105,APOYO A BOMBEROS,10/10/2018 01:39,Imprudencia del conductor,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO",4-3,
106,APOYO A BOMBEROS,09/10/2018 17:11,Exceso de velocidad,"CA. LOS ROBLES, SAN ISIDRO",1-6,
107,APOYO A BOMBEROS,09/10/2018 11:09,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE N° 0380, SAN ISIDRO",3-1,
108,APOYO A BOMBEROS,09/10/2018 08:59,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE N° 0491, SAN ISIDRO",3-1,
109,APOYO A BOMBEROS,08/10/2018 13:43,Imprudencia del conductor,"AV. ESPINOSA Y G., CAPITÁN OCTAVIO, SAN ISIDRO",2-2,
110,APOYO A BOMBEROS,08/10/2018 01:20,Imprudencia del conductor,"COSTA VERDE N° SN, SAN ISIDRO",2-7,
111,APOYO A BOMBEROS,07/10/2018 14:13,Exceso de velocidad,"AV. DE ARONA, JUAN, SAN ISIDRO",4-1,
112,APOYO A BOMBEROS,07/10/2018 14:05,Imprudencia del conductor,"AV. DE ARONA, JUAN, SAN ISIDRO",4-1,
113,APOYO A BOMBEROS,06/10/2018 12:47,Exceso de velocidad,"AV. DOS DE MAYO, SAN ISIDRO",1-1,
114,APOYO A BOMBEROS,05/10/2018 19:00,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
115,APOYO A BOMBEROS,05/10/2018 17:00,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER N° SN, SAN ISIDRO",1-2,
116,APOYO A BOMBEROS,05/10/2018 12:04,Exceso de velocidad,"AV. REPUBLICA DE PANAMA N° 3685, SAN ISIDRO",5-1,
117,APOYO A BOMBEROS,05/10/2018 09:33,Imprudencia del conductor,"CA. ODRIOZOLA, CORONEL N° 0505, SAN ISIDRO",4-3,
118,APOYO A BOMBEROS,05/10/2018 07:11,Exceso de velocidad,"AV. GUARDIA CIVIL N° 1010, SAN ISIDRO",5-1,
119,APOYO A BOMBEROS,04/10/2018 23:22,Imprudencia del conductor,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
120,APOYO A BOMBEROS,04/10/2018 20:39,Imprudencia del conductor,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO",2-2,
121,APOYO A BOMBEROS,04/10/2018 09:10,Imprudencia del conductor,"AV. PEZET, GENERAL JUAN ANTONIO N° 1311, SAN ISIDRO",2-2,
122,APOYO A BOMBEROS,03/10/2018 13:15,Falla mecánica,"CA. FLORA TRISTAN, SAN ISIDRO",1-3,
123,APOYO A BOMBEROS,03/10/2018 12:09,Exceso de velocidad,"CA. GRANDA, JOSÉ N° SN, SAN ISIDRO",1-5,
124,APOYO A BOMBEROS,03/10/2018 08:25,Imprudencia del conductor,"CA. LOS PINOS, SAN ISIDRO",3-1,
125,APOYO A BOMBEROS,02/10/2018 19:17,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
126,APOYO A BOMBEROS,02/10/2018 19:16,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
127,APOYO A BOMBEROS,02/10/2018 19:14,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-1,
128,APOYO A BOMBEROS,02/10/2018 16:04,Imprudencia del conductor,"AV. PRESCOTT, GUILLERMO, SAN ISIDRO",1-1,
129,APOYO A BOMBEROS,02/10/2018 15:56,Imprudencia del conductor,"CA. LAS BEGONIAS, SAN ISIDRO",4-2,
130,APOYO A BOMBEROS,02/10/2018 10:07,Imprudencia del conductor,"AV. MIRO QUESADA, AURELIO N° 0630, SAN ISIDRO",1-5,
131,APOYO A BOMBEROS,01/10/2018 18:38,Exceso de velocidad,"CA. LAS FLORES, SAN ISIDRO",1-5,
132,APOYO A BOMBEROS,01/10/2018 11:45,Imprudencia del conductor,"CA. LA FUENTE, GENERAL N° 0338, SAN ISIDRO",2-2,
133,APOYO A BOMBEROS,29/10/2018 20:23,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE N° 1470, SAN ISIDRO",1-5,
134,APOYO A BOMBEROS,28/10/2018 13:00,Pista en mal estado,"AV. PRADO ESTE, JAVIER, SAN ISIDRO",4-1,
135,APOYO A BOMBEROS,28/10/2018 00:22,Imprudencia del conductor,"AV. REPUBLICA DE PANAMA N° 3080, SAN ISIDRO",4-4,
136,APOYO A BOMBEROS,27/10/2018 16:20,Imprudencia del conductor,"AV. PORTILLO, CORONEL PEDRO N° 0560, SAN ISIDRO",2-2,
137,APOYO A BOMBEROS,26/10/2018 16:30,Imprudencia del conductor,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-3,
138,APOYO A BOMBEROS,08/10/2018 23:55,Imprudencia del conductor,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
139,APOYO A BOMBEROS,06/10/2018 06:57,Exceso de velocidad,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO",1-6,
140,APOYO A BOMBEROS,06/10/2018 06:39,Exceso de velocidad,"CA. LOS LIBERTADORES, SAN ISIDRO",3-2,
141,APOYO A BOMBEROS,09/10/2018 12:09,Imprudencia del conductor,"COSTA VERDE N° SN, SAN ISIDRO",2-7,
142,APOYO A BOMBEROS,30/10/2018 01:18,,"CA. LOS PETIRROJOS N° 0355, SAN ISIDRO",5-2,
143,APOYO A BOMBEROS,04/10/2018 10:35,,"AV. ARAMBURU, ANDRÉS N° 0217, SAN ISIDRO",4-3,
144,APOYO A BOMBEROS,23/10/2018 14:30,Imprudencia del conductor,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO",4-4,
145,APOYO A BOMBEROS,22/10/2018 12:43,Imprudencia del conductor,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO",4-2,
146,APOYO A BOMBEROS,16/10/2018 08:56,Exceso de velocidad,"PZ. PAZ SOLDAN N° SN, SAN ISIDRO",3-1,
147,APOYO A BOMBEROS,11/10/2018 13:21,Exceso de velocidad,"CA. MERINO REYNA, AMADOR N° 0267, SAN ISIDRO",4-2,
148,APOYO A BOMBEROS,10/10/2018 20:47,Imprudencia del conductor,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-3,
149,APOYO A BOMBEROS,09/10/2018 11:51,Exceso de velocidad,"AV. GUARDIA CIVIL N° 0420, SAN ISIDRO",5-3,
150,APOYO A BOMBEROS,07/10/2018 12:14,Falla mecánica,"AV. DE ARONA, JUAN, SAN ISIDRO",4-3,
151,APOYO A BOMBEROS,06/10/2018 09:00,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE N° SN, SAN ISIDRO",1-6,
152,APOYO A BOMBEROS,04/10/2018 19:45,Exceso de velocidad,"AV. PRADO OESTE, JAVIER N° 0660, SAN ISIDRO",3-1,
153,APOYO A BOMBEROS,01/10/2018 12:26,Imprudencia del conductor,"AV. PAZ SOLDAN, SAN ISIDRO",3-1,
154,APOYO A BOMBEROS,01/10/2018 07:49,Imprudencia del conductor,"AV. BASADRE GROHMANN, JORGE N° SN, SAN ISIDRO",3-1,
155,APOYO A BOMBEROS,31/10/2018 13:33,,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO",3-1,
156,APOYO A BOMBEROS,25/10/2018 08:59,,"CA. 32 (URB. CORPAC) N° 0192, SAN ISIDRO",5-4,
157,APOYO A BOMBEROS,19/10/2018 11:25,,"AV. PRADO OESTE, JAVIER, SAN ISIDRO",1-3,
158,APOYO A BOMBEROS,08/10/2018 22:25,,"PQ. PARQUE AV. J. PRADO OESTE N° SN, SAN ISIDRO",3-1,
159,APOYO A BOMBEROS,02/10/2018 11:50,,"CA. BARCELONA, SAN ISIDRO",1-1,
160,APOYO A BOMBEROS,01/10/2018 07:56,,"AV. PRADO OESTE, JAVIER N° «SELEC, SAN ISIDRO",,
161,APOYO A BOMBEROS,20/10/2018 01:22,,"CA. CERDEÑA, MARISCAL BLAS N° 0485, SAN ISIDRO",2-6,
162,APOYO A FISCALIZACION,04/10/2018 09:04,,"PZ. BOLLAR, PADRE CONSTANCIO N° SN, SAN ISIDRO",3-1,
163,APOYO A FISCALIZACION,15/10/2018 19:53,,"CA. LOS LIBERTADORES N° 0750 PIS N°05, SAN ISIDRO",3-2,
164,APOYO A FISCALIZACION,13/10/2018 15:33,,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 1474, SAN ISIDRO",5-4,
165,APOYO A FISCALIZACION,30/10/2018 11:20,,"CA. SANTA LUISA N° 0195, SAN ISIDRO",3-1,
166,APOYO A FISCALIZACION,29/10/2018 14:22,,"CA. ANGULO RAMIREZ, DR. RICARDO J. N° 1177, SAN ISIDRO",5-1,
167,APOYO A FISCALIZACION,29/10/2018 11:52,,"AV. DASSO, MIGUEL N° 0139, SAN ISIDRO",2-5,
168,APOYO A FISCALIZACION,27/10/2018 09:03,,"AV. DE ARONA, JUAN, SAN ISIDRO",4-2,
169,APOYO A FISCALIZACION,26/10/2018 09:52,,"C.HAB RESIDENCIAL SANTA CRUZ BLK K PISO 01, SAN ISIDRO",2-4,
170,APOYO A FISCALIZACION,25/10/2018 01:20,,"CA. DEL LLANO ZAPATA, JOSÉ, SAN ISIDRO",3-2,
171,APOYO A FISCALIZACION,20/10/2018 23:22,,"AV. CAMINO REAL N° 1037, SAN ISIDRO",3-2,
172,APOYO A FISCALIZACION,20/10/2018 01:24,,"AV. CAMINO REAL N° SN, SAN ISIDRO",3-2,
173,APOYO A FISCALIZACION,18/10/2018 11:44,,"CA. GUANAHANI N° 0151, SAN ISIDRO",3-3,
174,APOYO A FISCALIZACION,16/10/2018 12:21,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0996, SAN ISIDRO",5-4,
175,APOYO A FISCALIZACION,16/10/2018 02:27,,"CA. OLLANTA PIS 1, SAN ISIDRO",3-1,
176,APOYO A FISCALIZACION,12/10/2018 23:02,,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO",4-2,
177,APOYO A FISCALIZACION,12/10/2018 12:34,,"CA. CISNES, SAN ISIDRO",4-4,
178,APOYO A FISCALIZACION,10/10/2018 14:22,,"CA. MAURTUA, VICTOR A. N° 0324, SAN ISIDRO",2-6,
179,APOYO A FISCALIZACION,09/10/2018 01:50,,"CA. ROCCA DE VERGALLO, NICANOR N° 0171, SAN ISIDRO",1-3,
180,APOYO A FISCALIZACION,08/10/2018 09:53,,"AV. BASADRE GROHMANN, JORGE N° 0356, SAN ISIDRO",3-1,
181,APOYO A FISCALIZACION,06/10/2018 11:19,,"CA. VILLARAN, LUIS FELIPE N° 0817, SAN ISIDRO",4-3,
182,APOYO A FISCALIZACION,04/10/2018 03:35,,"AV. REPUBLICA, PASEO DE LA N° 3101, SAN ISIDRO",4-4,
183,APOYO A FISCALIZACION,02/10/2018 21:14,,"CA. HALCONES N° 0237 DPTO C, SAN ISIDRO",4-4,
184,APOYO A FISCALIZACION,31/10/2018 06:35,,"AV. REPUBLICA DE PANAMA, SAN ISIDRO",4-4,
185,APOYO A FISCALIZACION,31/10/2018 22:07,,"CA. CHINCHON N° 0858 DPTO A, SAN ISIDRO",4-2,
186,APOYO A FISCALIZACION,31/10/2018 21:24,,"AV. DE ARONA, JUAN N° 0755, SAN ISIDRO",4-2,
187,APOYO A FISCALIZACION,31/10/2018 09:59,,"AV. PETIT THOUARS N° 3050, SAN ISIDRO",4-1,
188,APOYO A FISCALIZACION,31/10/2018 00:11,,"CA. REYES, CORONEL ANDRÉS N° 0230, SAN ISIDRO",4-1,
189,APOYO A FISCALIZACION,30/10/2018 00:01,,"AV. BASADRE GROHMANN, JORGE N° 0356, SAN ISIDRO",3-1,
190,APOYO A FISCALIZACION,27/10/2018 22:56,,"AV. DEL PARQUE SUR N° 0416, SAN ISIDRO",5-4,
191,APOYO A FISCALIZACION,27/10/2018 22:26,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0274, SAN ISIDRO",5-2,
192,APOYO A FISCALIZACION,27/10/2018 11:08,,"AV. SALAVERRY, GENERAL, SAN ISIDRO",1-1,
193,APOYO A FISCALIZACION,27/10/2018 01:18,,"C.HAB RESIDENCIAL SANTA CRUZ BLK B 402, SAN ISIDRO",2-4,
194,APOYO A FISCALIZACION,27/10/2018 01:16,,"CA. VILLARAN, LUIS FELIPE N° 0320 PIS 2, SAN ISIDRO",4-3,
195,APOYO A FISCALIZACION,27/10/2018 00:30,,"CA. ROMA N° 0287, SAN ISIDRO",1-1,
196,APOYO A FISCALIZACION,27/10/2018 00:27,,"AV. DEL PARQUE NORTE N° 0707 DPTO 304, SAN ISIDRO",5-3,
197,APOYO A FISCALIZACION,26/10/2018 22:34,,"CA. MONTEAGUDO, BERNARDO N° 0234, SAN ISIDRO",2-1,
198,APOYO A FISCALIZACION,26/10/2018 22:25,,"AV. PEREZ ARANIBAR, AUGUSTO N° 1847, SAN ISIDRO",2-7,
