N°,CASO,DÍA,FECHA,MODALIDAD,MEDIO,DIRECCIÓN
24,00765751,MIÉRCOLES,23/01/2019 07:53,Imprudencia del conductor,RADIO,"CA. RIO DE LA PLATA, SAN ISIDRO"
25,00765644,MARTES,22/01/2019 17:51,Imprudencia del conductor,RADIO,"CA. CLEMENTE X, SAN ISIDRO"
26,00765640,MARTES,22/01/2019 17:27,Imprudencia del conductor,RADIO,"CA. LAS CASAS N° 080095, SAN ISIDRO"
27,00765643,MARTES,22/01/2019 16:37,Imprudencia del conductor,RADIO,"AV. EL ROSARIO, SAN ISIDRO"
28,00765411,LUNES,21/01/2019 21:05,Exceso de velocidad,RADIO,"CA. LOS ROBLES, SAN ISIDRO"
29,00765407,LUNES,21/01/2019 18:00,Exceso de velocidad,RADIO,"CA. FLORA TRISTAN, SAN ISIDRO"
30,00765406,LUNES,21/01/2019 17:48,Exceso de velocidad,RADIO,"AV. PRESCOTT, GUILLERMO, SAN ISIDRO"
31,00765233,LUNES,21/01/2019 10:30,Exceso de velocidad,RADIO,"AV. DE ARONA, JUAN N° 050685, SAN ISIDRO"
32,00765230,LUNES,21/01/2019 09:47,Exceso de velocidad,RADIO,"AV. DE ARONA, JUAN N° 060845, SAN ISIDRO"
33,00765212,LUNES,21/01/2019 09:06,Imprudencia del conductor,RADIO,"AV. PRESCOTT, GUILLERMO N° 0456, SAN ISIDRO"
34,00764930,SÁBADO,19/01/2019 15:25,Imprudencia del conductor,RADIO,"AV. CARRIQUIRY MAURER, PABLO N° 040132, SAN ISIDRO"
35,00764825,SÁBADO,19/01/2019 11:57,Imprudencia del conductor,RADIO,"AV. SANCHEZ CARRION, FAUSTINO, SAN ISIDRO"
36,00764684,VIERNES,18/01/2019 20:00,Imprudencia del conductor,RADIO,"AV. BASADRE GROHMANN, JORGE, SAN ISIDRO"
37,00764821,VIERNES,18/01/2019 19:44,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
38,00764822,VIERNES,18/01/2019 18:05,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
39,00764573,VIERNES,18/01/2019 12:44,Imprudencia del conductor,TELÉFONO,"AV. PRADO ESTE, JAVIER N° 1066, SAN ISIDRO"
40,00764280,JUEVES,17/01/2019 10:05,Exceso de velocidad,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
41,00764144,MIÉRCOLES,16/01/2019 19:27,Exceso de velocidad,RADIO,"AV. DE ARONA, JUAN N° 080801, SAN ISIDRO"
42,00764126,MIÉRCOLES,16/01/2019 16:44,Exceso de velocidad,RADIO,"AV. PETIT THOUARS N° 103285, SAN ISIDRO"
43,00764115,MIÉRCOLES,16/01/2019 16:29,Exceso de velocidad,RADIO,"AV. PRADO ESTE, JAVIER N° 150410, SAN ISIDRO"
44,00764049,MIÉRCOLES,16/01/2019 12:40,Imprudencia del conductor,RADIO,"AV. PASEO PARODI, SAN ISIDRO"
45,00764030,MIÉRCOLES,16/01/2019 10:49,Imprudencia del conductor,RADIO,"CA. CHACARILLA, SAN ISIDRO"
46,00764003,MIÉRCOLES,16/01/2019 09:49,Imprudencia del conductor,RADIO,"AV. PASEO PARODI, SAN ISIDRO"
47,00763807,MARTES,15/01/2019 12:00,Imprudencia del conductor,RADIO,"CA. BARCELONA, SAN ISIDRO"
48,00763757,MARTES,15/01/2019 10:49,Imprudencia del conductor,RADIO,"CA. ELESPURU, JUAN NORBERTO, SAN ISIDRO"
49,00763754,MARTES,15/01/2019 10:42,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
50,00763696,MARTES,15/01/2019 08:39,Falla mecánica,TELÉFONO,"AV. DOS DE MAYO, SAN ISIDRO"
51,00763710,MARTES,15/01/2019 08:36,Imprudencia del conductor,RADIO,"CA. LOS FICUS N° 050210, SAN ISIDRO"
52,00763715,MARTES,15/01/2019 08:22,Imprudencia del conductor,RADIO,"CA. MARCONI, GUILLERMO, SAN ISIDRO"
53,00763665,LUNES,14/01/2019 23:20,Imprudencia del conductor,TELÉFONO,"CA. LAS FLORES, SAN ISIDRO"
54,00763634,LUNES,14/01/2019 19:30,Imprudencia del conductor,RADIO,"CA. CHACARILLA, SAN ISIDRO"
55,00763527,LUNES,14/01/2019 10:21,Exceso de velocidad,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
56,00763495,LUNES,14/01/2019 08:31,Exceso de velocidad,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
57,00763383,DOMINGO,13/01/2019 18:10,Exceso de velocidad,RADIO,"AV. SANCHEZ CARRION, FAUSTINO, SAN ISIDRO"
58,00763678,DOMINGO,13/01/2019 14:55,Exceso de velocidad,RADIO,"AV. DE ARONA, JUAN N° 080151, SAN ISIDRO"
59,00763324,DOMINGO,13/01/2019 12:45,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER N° 2378, SAN ISIDRO"
60,00763318,DOMINGO,13/01/2019 09:11,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER N° 1610, SAN ISIDRO"
61,00763283,DOMINGO,13/01/2019 09:02,Exceso de velocidad,RADIO,"AV. PRADO ESTE, JAVIER N° 140406, SAN ISIDRO"
62,00762920,VIERNES,11/01/2019 22:23,Imprudencia del conductor,RADIO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
63,00762866,VIERNES,11/01/2019 16:50,Imprudencia del conductor,RADIO,"CA. ODRIOZOLA, CORONEL, SAN ISIDRO"
64,00762689,VIERNES,11/01/2019 08:44,Imprudencia del conductor,RADIO,"AV. PETIT THOUARS N° 4085, SAN ISIDRO"
65,00762584,JUEVES,10/01/2019 18:47,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER N° 1665, SAN ISIDRO"
66,00762558,JUEVES,10/01/2019 18:32,Imprudencia del conductor,RADIO,"CA. CHACARILLA, SAN ISIDRO"
67,00762485,JUEVES,10/01/2019 15:18,Falla mecánica,TELÉFONO,"AV. ALVAREZ CALDERON N° 0760, SAN ISIDRO"
68,00762475,JUEVES,10/01/2019 13:11,Imprudencia del conductor,RADIO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
69,00762449,JUEVES,10/01/2019 12:35,Imprudencia del conductor,RADIO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
70,00762933,JUEVES,10/01/2019 09:41,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
71,00762929,JUEVES,10/01/2019 09:10,Imprudencia del conductor,RADIO,"CA. GRANDA, JOSÉ, SAN ISIDRO"
72,00762928,JUEVES,10/01/2019 09:02,Exceso de velocidad,RADIO,"CA. VALLE RIESTRA, GRAL FRANCISCO, SAN ISIDRO"
73,00762331,MIÉRCOLES,09/01/2019 21:39,Exceso de velocidad,TELÉFONO,"CA. LOS NOGALES, SAN ISIDRO"
74,00762303,MIÉRCOLES,09/01/2019 19:46,Exceso de velocidad,RADIO,"CA. LOS CEDROS, SAN ISIDRO"
75,00762088,MARTES,08/01/2019 23:59,Imprudencia del conductor,RADIO,"AV. REPUBLICA DE COLOMBIA, SAN ISIDRO"
76,00761746,LUNES,07/01/2019 19:19,Imprudencia del conductor,RADIO,"CA. DEL CARPIO, JUAN, SAN ISIDRO"
77,00761648,LUNES,07/01/2019 09:45,Imprudencia del conductor,RADIO,"CA. LA TORRE, BALTAZAR, SAN ISIDRO"
78,00761457,DOMINGO,06/01/2019 18:00,Imprudencia del conductor,RADIO,"AV. AREQUIPA, SAN ISIDRO"
79,00761446,DOMINGO,06/01/2019 15:44,Imprudencia del conductor,RADIO,"AV. AREQUIPA, SAN ISIDRO"
80,00763836,DOMINGO,06/01/2019 01:31,Imprudencia del conductor,RADIO,"AV. HERNANDEZ, DANIEL, SAN ISIDRO"
81,00761283,SÁBADO,05/01/2019 19:20,Imprudencia del conductor,RADIO,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO"
82,00761131,SÁBADO,05/01/2019 01:03,Imprudencia del conductor,RADIO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
83,00761114,SÁBADO,05/01/2019 00:26,Imprudencia del conductor,RADIO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
84,00761112,VIERNES,04/01/2019 23:33,Imprudencia del conductor,RADIO,"AV. AREQUIPA, SAN ISIDRO"
85,00760941,VIERNES,04/01/2019 11:59,Imprudencia del conductor,RADIO,"CA. ODRIOZOLA, CORONEL, SAN ISIDRO"
86,00760914,VIERNES,04/01/2019 11:58,Exceso de velocidad,TELÉFONO,"CA. OLAVIDE, SAN ISIDRO"
87,00760936,VIERNES,04/01/2019 11:49,Imprudencia del conductor,RADIO,"CA. LAS BEGONIAS N° SN, SAN ISIDRO"
88,00760934,VIERNES,04/01/2019 10:08,Imprudencia del conductor,RADIO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
89,00760885,VIERNES,04/01/2019 10:04,Exceso de velocidad,TELÉFONO,"AV. PRADO OESTE, JAVIER, SAN ISIDRO"
90,00760866,JUEVES,03/01/2019 19:38,Imprudencia del conductor,RADIO,"CA. LOS NARANJOS, SAN ISIDRO"
91,00760771,JUEVES,03/01/2019 18:14,Exceso de velocidad,TELÉFONO,"AV. DE ALIAGA, JUAN N° SN, SAN ISIDRO"
92,00760732,JUEVES,03/01/2019 16:25,Exceso de velocidad,TELÉFONO,"AV. REPUBLICA, PASEO DE LA N° 3490, SAN ISIDRO"
93,00760681,JUEVES,03/01/2019 12:13,Imprudencia del conductor,RADIO,"AV. PETIT THOUARS N° 3635, SAN ISIDRO"
94,00760655,JUEVES,03/01/2019 09:33,Imprudencia del conductor,RADIO,"CA. LAS CAMELIAS, SAN ISIDRO"
95,00760602,JUEVES,03/01/2019 05:54,Imprudencia del conductor,TELÉFONO,"AV. SALAVERRY, GENERAL, SAN ISIDRO"
96,00760454,MIÉRCOLES,02/01/2019 14:32,Exceso de velocidad,TELÉFONO,"AV. DOS DE MAYO, SAN ISIDRO"
97,00767236,LUNES,28/01/2019 15:53,Exceso de velocidad,RADIO,"AV. PRADO ESTE, JAVIER N° 040707, SAN ISIDRO"
98,00766253,JUEVES,24/01/2019 18:37,Exceso de velocidad,RADIO,"AV. ARAMBURU, ANDRÉS N° 270519, SAN ISIDRO"
99,00765849,MIÉRCOLES,23/01/2019 11:04,Imprudencia del conductor,RADIO,"AV. EL ROSARIO, SAN ISIDRO"
100,00763542,LUNES,14/01/2019 15:48,Falla mecánica,TELÉFONO,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
101,00768207,MIÉRCOLES,30/01/2019 10:30,,RADIO,"CA. LOS EUCALIPTOS N° 100291, SAN ISIDRO"
102,00766919,DOMINGO,27/01/2019 13:11,,TELÉFONO,"AV. BASADRE GROHMANN, JORGE N° 1295 DPTO 701, SAN ISIDRO"
103,00763778,MARTES,15/01/2019 12:24,,TELÉFONO,"AV. CAMINO REAL, SAN ISIDRO"
104,00760774,JUEVES,03/01/2019 18:26,,TELÉFONO,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
105,00764050,MIÉRCOLES,16/01/2019 11:28,Imprudencia del conductor,RADIO,"AV. RIVERA NAVARRETE, RICARDO, SAN ISIDRO"
106,00764006,MIÉRCOLES,16/01/2019 08:37,Imprudencia del conductor,RADIO,"CA. VALDIVIA, DEAN, SAN ISIDRO"
107,00762862,VIERNES,11/01/2019 18:07,Imprudencia del conductor,RADIO,"AV. PETIT THOUARS, SAN ISIDRO"
108,00761550,LUNES,07/01/2019 09:37,Imprudencia del conductor,TELÉFONO,"CA. REYES, CORONEL ANDRÉS, SAN ISIDRO"
109,00767965,JUEVES,31/01/2019 10:45,,RADIO,"CA. LAS GARZAS NORTE N° 150377, SAN ISIDRO"
110,00767538,MARTES,29/01/2019 17:40,,RADIO,"AV. SANCHEZ CARRION, FAUSTINO, SAN ISIDRO"
111,00767063,LUNES,28/01/2019 05:28,,RADIO,"AV. SALAVERRY, GENERAL, SAN ISIDRO"
112,00767052,SÁBADO,26/01/2019 10:00,,RADIO,"AV. SALAVERRY, GENERAL, SAN ISIDRO"
113,00765817,MIÉRCOLES,23/01/2019 09:00,,POS,"AV. LOS INCAS, SAN ISIDRO"
114,00765847,MIÉRCOLES,23/01/2019 07:57,,RADIO,"AV. MIRO QUESADA, AURELIO, SAN ISIDRO"
115,00760526,MIÉRCOLES,02/01/2019 17:12,,RADIO,"AV. DE ALIAGA, JUAN, SAN ISIDRO"
116,00763151,SÁBADO,12/01/2019 16:03,,RADIO,"CA. MERINO REYNA, AMADOR N° 0145, SAN ISIDRO"
117,00766784,SÁBADO,26/01/2019 18:35,,,"PSJE. PARQUE LUIS BERNALES GARCIA N° SN, SAN ISIDRO"
118,00764553,VIERNES,18/01/2019 11:35,,,"CA. GOLONDRINAS N° 050390, SAN ISIDRO"
119,00764330,JUEVES,17/01/2019 12:53,,,"CA. OLAVIDE N° 180140, SAN ISIDRO"
120,00760702,JUEVES,03/01/2019 09:10,,,"CA. LOS SAUCES N° 0308, SAN ISIDRO"
121,00767967,JUEVES,31/01/2019 13:32,,,"AV. REPUBLICA, PASEO DE LA N° 3014, SAN ISIDRO"
122,00767741,MIÉRCOLES,30/01/2019 16:46,,,"AV. REPUBLICA DE PANAMA N° 3606, SAN ISIDRO"
123,00767474,MARTES,29/01/2019 14:53,,,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
124,00767066,LUNES,28/01/2019 07:00,,,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
125,00766471,VIERNES,25/01/2019 14:59,,,"AV. PEZET, GENERAL JUAN ANTONIO N° 1311, SAN ISIDRO"
126,00765371,LUNES,21/01/2019 18:28,,,"CA. GAVILANES N° 0150, SAN ISIDRO"
127,00763784,MARTES,15/01/2019 12:16,,,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
128,00761230,SÁBADO,05/01/2019 15:35,,,"CA. LA TORRE, BALTAZAR N° 0339, SAN ISIDRO"
129,00768132,JUEVES,31/01/2019 21:33,,,"AV. DE ARONA, JUAN, SAN ISIDRO"
130,00768093,JUEVES,31/01/2019 18:31,,,"CA. LA FLORIDA N° 160136 INT 16, SAN ISIDRO"
131,00767909,JUEVES,31/01/2019 10:31,,,"CA. 18 SUR (URB. CORPAC), SAN ISIDRO"
132,00767802,MIÉRCOLES,30/01/2019 21:03,,,"CA. REYES, CORONEL ANDRÉS, SAN ISIDRO"
133,00767743,MIÉRCOLES,30/01/2019 16:55,,,"AV. REPUBLICA DE COLOMBIA N° 0671 PIS 8, SAN ISIDRO"
134,00767683,MIÉRCOLES,30/01/2019 12:41,,,"CA. ALZAMORA - ESTE, LIZARDO N° 0260, SAN ISIDRO"
135,00767642,MIÉRCOLES,30/01/2019 09:56,,,"AV. PRADO OESTE, JAVIER N° 0375, SAN ISIDRO"
136,00767608,MARTES,29/01/2019 23:21,,,"CA. 8 (URB. CORPAC) N° 0127, SAN ISIDRO"
137,00767555,MARTES,29/01/2019 20:10,,,"AV. PRESCOTT, GUILLERMO N° 140305, SAN ISIDRO"
138,00767192,LUNES,28/01/2019 14:44,,,"CA. TELLERIA, SEBASTIAN N° 040164, SAN ISIDRO"
139,00767044,LUNES,28/01/2019 03:06,,,"CA. TUCANES N° 010210, SAN ISIDRO"
140,00766922,DOMINGO,27/01/2019 10:55,,,"CA. LOS LIBERTADORES, SAN ISIDRO"
141,00766518,VIERNES,25/01/2019 17:06,,,"AV. PEREZ ARANIBAR, AUGUSTO N° 1670 DPTO 2B, SAN ISIDRO"
142,00766515,VIERNES,25/01/2019 17:00,,,"AV. DOS DE MAYO N° 1205, SAN ISIDRO"
143,00765741,MIÉRCOLES,23/01/2019 08:28,,,"CA. COCHRANE, ALMIRANTE LORD N° 0180 DPTO 13, SAN ISIDRO"
144,00765495,MARTES,22/01/2019 10:47,,,"CA. FUENTES, MANUEL ATANASIO N° 0856, SAN ISIDRO"
145,00765466,MARTES,22/01/2019 08:57,,,"AV. PETIT THOUARS N° 3927, SAN ISIDRO"
146,00765184,LUNES,21/01/2019 07:00,,,"CA. VALDIVIA, DEAN N° 0161, SAN ISIDRO"
147,00765038,DOMINGO,20/01/2019 09:03,,,"CA. GAVILANES N° 0315, SAN ISIDRO"
148,00764956,SÁBADO,19/01/2019 20:29,,,"AV. DE ARONA, JUAN N° 0830, SAN ISIDRO"
149,00764954,SÁBADO,19/01/2019 18:20,,,"AV. PRADO ESTE, JAVIER N° 0996, SAN ISIDRO"
150,00764911,SÁBADO,19/01/2019 17:08,,,"AV. PETIT THOUARS N° 3865, SAN ISIDRO"
151,00764855,SÁBADO,19/01/2019 13:56,,,"CA. LAS CAMELIAS N° 250511 DPTO 701, SAN ISIDRO"
152,00764820,SÁBADO,19/01/2019 12:03,,,"CA. PELICANOS, SAN ISIDRO"
153,00764819,SÁBADO,19/01/2019 11:53,,,"AV. PASEO PARODI, SAN ISIDRO"
154,00764642,VIERNES,18/01/2019 17:06,,,"AV. PEREZ ARANIBAR, AUGUSTO, SAN ISIDRO"
155,00764515,VIERNES,18/01/2019 09:09,,,"C.HAB RESIDENCIAL SANTA CRUZ BLK M DPTO. 402, SAN ISIDRO"
156,00764459,JUEVES,17/01/2019 22:16,,,"CA. ASPILLAGA, ANTERO N° 0199B, SAN ISIDRO"
157,00764381,JUEVES,17/01/2019 15:41,,,"AV. REPUBLICA DE COLOMBIA N° 0671, SAN ISIDRO"
158,00764004,MIÉRCOLES,16/01/2019 09:55,,,"AV. PRADO ESTE, JAVIER N° 0318, SAN ISIDRO"
159,00763947,MARTES,15/01/2019 23:58,,,"AV. DOS DE MAYO, SAN ISIDRO"
160,00763019,SÁBADO,12/01/2019 09:11,,,"CA. REYES, CORONEL ANDRÉS N° 0472, SAN ISIDRO"
161,00762931,SÁBADO,12/01/2019 00:27,,,"CA. LYNCH, ALBERTO N° SN, SAN ISIDRO"
162,00762777,VIERNES,11/01/2019 14:03,,,"AV. ARAMBURU, ANDRÉS, SAN ISIDRO"
163,00762721,VIERNES,11/01/2019 11:18,,,"CA. SALAMANCA N° 0295, SAN ISIDRO"
164,00762712,VIERNES,11/01/2019 11:03,,,"CA. PLASCENCIA, ERNESTO N° 0398, SAN ISIDRO"
165,00762499,JUEVES,10/01/2019 16:18,,,"CA. DE LA MONCLOVA, CONDE N° 0363 DPTO 602, SAN ISIDRO"
166,00762344,MIÉRCOLES,09/01/2019 22:59,,,"CA. LAS OROPENDOLAS N° 0270, SAN ISIDRO"
167,00762161,MIÉRCOLES,09/01/2019 11:11,,,"AV. SALAVERRY, GENERAL N° 2205, SAN ISIDRO"
168,00761901,MARTES,08/01/2019 11:48,,,"CA. BOLOGNESI, AUGUSTO N° 0345, SAN ISIDRO"
169,00761858,MARTES,08/01/2019 09:38,,,"AV. PASEO PARODI, SAN ISIDRO"
170,00761597,LUNES,07/01/2019 11:13,,,"CA. ROCCA DE VERGALLO, NICANOR, SAN ISIDRO"
171,00761549,LUNES,07/01/2019 09:04,,,"CA. LAS MORERAS N° 0188, SAN ISIDRO"
172,00761288,SÁBADO,05/01/2019 21:01,,,"AV. REPUBLICA, PASEO DE LA, SAN ISIDRO"
173,00761161,SÁBADO,05/01/2019 09:20,,,"CA. GONZALES OLAECHEA, MANUEL N° 0465, SAN ISIDRO"
174,00760990,VIERNES,04/01/2019 15:14,,,"CA. GRANDA, JOSÉ N° 0443, SAN ISIDRO"
175,00760664,JUEVES,03/01/2019 11:45,,,"CA. ODRIOZOLA, CORONEL, SAN ISIDRO"
176,00760647,JUEVES,03/01/2019 11:03,,,"AV. PRADO OESTE, JAVIER N° 2255 DPTO 301, SAN ISIDRO"
177,00767805,MIÉRCOLES,30/01/2019 21:12,,,"PSJE. PARQUE LUIS BERNALES GARCIA, SAN ISIDRO"
178,00767524,MARTES,29/01/2019 17:38,,,"AV. PRADO ESTE, JAVIER N° 110330, SAN ISIDRO"
179,00767198,LUNES,28/01/2019 15:17,,,"AV. REPUBLICA DE PANAMA N° 3508, SAN ISIDRO"
180,00767195,LUNES,28/01/2019 15:02,,,"AV. PRADO ESTE, JAVIER N° 0330, SAN ISIDRO"
181,00766754,SÁBADO,26/01/2019 15:51,,,"CA. LAS CASAS N° 0031 DPTO 403, SAN ISIDRO"
182,00766496,VIERNES,25/01/2019 15:49,,,"AV. REPUBLICA DE PANAMA, SAN ISIDRO"
183,00765840,MIÉRCOLES,23/01/2019 13:53,,,"AV. CAMINO REAL N° 0985, SAN ISIDRO"
184,00765723,MIÉRCOLES,23/01/2019 06:03,,,"CA. GONZALES OLAECHEA, MANUEL N° 0337, SAN ISIDRO"
185,00764269,JUEVES,17/01/2019 09:23,,,"AV. DE RIBERA, NICOLÁS, SAN ISIDRO"
186,00763733,MARTES,15/01/2019 10:52,,,"AV. PRADO ESTE, JAVIER, SAN ISIDRO"
187,00764909,SÁBADO,19/01/2019 17:04,,,"CA. 54 (URB. CORPAC) N° 0203, SAN ISIDRO"
188,00762648,VIERNES,11/01/2019 02:36,,,"AV. ARAMBURU, ANDRÉS N° 0675, SAN ISIDRO"
189,00762306,MIÉRCOLES,09/01/2019 20:15,,,"CA. LOS MILANOS N° 0341, SAN ISIDRO"
190,00768160,JUEVES,31/01/2019 22:40,,,"AV. LOS CONQUISTADORES N° 180135 DPTO D, SAN ISIDRO"
191,00768061,JUEVES,31/01/2019 17:21,,,"CA. 26 (URB. CORPAC) N° 0146, SAN ISIDRO"
192,00767850,JUEVES,31/01/2019 01:34,,,"CA. LAS BEGONIAS N° 040724, SAN ISIDRO"
193,00767843,JUEVES,31/01/2019 00:41,,,"CA. MAIMONIDES, MOSHE BEN MAIMON N° 060234, SAN ISIDRO"
194,00767699,MIÉRCOLES,30/01/2019 13:46,,,"AV. ALVAREZ CALDERON N° 0498 DPTO 501, SAN ISIDRO"
195,00767603,MIÉRCOLES,30/01/2019 00:08,,,"AV. CAVENECIA, EMILIO, SAN ISIDRO"
196,00767591,MARTES,29/01/2019 23:00,,,"AV. BASADRE GROHMANN, JORGE N° 1256 PIS 2, SAN ISIDRO"
197,00766983,DOMINGO,27/01/2019 17:26,,,"AV. PEZET, GENERAL JUAN ANTONIO N° 1557 DPTO C, SAN ISIDRO"
198,00766945,DOMINGO,27/01/2019 14:43,,,"CA. VALMORE RONCALLA, DR. CAYETANO N° 0225, SAN ISIDRO"
199,00766935,DOMINGO,27/01/2019 14:18,,,"AV. PRADO OESTE, JAVIER N° 0970 DPTO 204, SAN ISIDRO"
200,00766934,DOMINGO,27/01/2019 14:13,,,"AV. PEZET, GENERAL JUAN ANTONIO N° 0685, SAN ISIDRO"
201,00766927,DOMINGO,27/01/2019 13:47,,,"AV. TUDELA Y VARELA, FRANCISCO N° 0153, SAN ISIDRO"
202,00766875,DOMINGO,27/01/2019 01:56,,,"CA. FLORA TRISTAN N° 0470, SAN ISIDRO"
203,00766871,DOMINGO,27/01/2019 00:57,,,"AV. SANTO TORIBIO, SAN ISIDRO"
204,00766867,DOMINGO,27/01/2019 00:35,,,"AV. CAMINO REAL N° 0961, SAN ISIDRO"
205,00766860,DOMINGO,27/01/2019 00:18,,,"AV. PRADO OESTE, JAVIER N° 0865 PIS 2, SAN ISIDRO"
206,00766859,DOMINGO,27/01/2019 00:14,,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0351 DPTO 101, SAN ISIDRO"
207,00766856,DOMINGO,27/01/2019 00:05,,,"AV. CARRIQUIRY MAURER, PABLO N° 0390, SAN ISIDRO"
208,00766854,SÁBADO,26/01/2019 23:51,,,"CA. 6 (URB. CORPAC) N° 0290, SAN ISIDRO"
209,00766844,SÁBADO,26/01/2019 23:05,,,"CA. 6 (URB. CORPAC) N° 0281, SAN ISIDRO"
210,00766843,SÁBADO,26/01/2019 23:01,,,"CA. 6 (URB. CORPAC) N° 0281 DPTO 101, SAN ISIDRO"
211,00766825,SÁBADO,26/01/2019 21:48,,,"AV. GALVEZ BARRENECHEA, JOSÉ N° 0282, SAN ISIDRO"
212,00766811,SÁBADO,26/01/2019 20:56,,,"AV. DE ALIAGA, JUAN N° 0476, SAN ISIDRO"
213,00766807,SÁBADO,26/01/2019 20:43,,,"CA. GARCIA, GODOFREDO N° 0175 DPTO 502, SAN ISIDRO"
214,00766794,SÁBADO,26/01/2019 19:45,,,"CA. 34 SUR N° 0390 DPTO 22, SAN ISIDRO"
