direccion,id_dpto,departamen,id_prov,provincia,id_dist,distrito,cod_cpnp,comisaria,id_materia,materia,id_tipo,tipo,id_subtipo,subtipo,id_modalidad,modalidad,AÑO_HECHO,MES_HECHO,DIA_HECHO,TURNO_HECH,time,estado,x,y
EVITAMIENTO NORTE ALTURA DE UTP,14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,0808,CPNP DEL NORTE,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,2018,1,1,mañana,"1/1/2018, 7:15 AM",1,-8890355.91532628,-754642.9002444503
ASOC. EL SOL MZ E LT 24 SANTA CLARA ATE,15,LIMA,1501,LIMA,150103,ATE,2130,CPNP SANTA CLARA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,2018,1,1,mañana,"1/1/2018, 6:00 AM",1,-8559309.37158248,-1348747.1680562184
AV LIMA PARADERO 6. JOSE GALVEZ.,15,LIMA,1501,LIMA,150143,VILLA MARIA DEL TRIUNFO,2290,CPNP JOSE GALVEZ,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 8:25 AM",1,-8561285.30367601,-1370509.5609462836
independencia,15,LIMA,1501,LIMA,150112,INDEPENDENCIA,1855,CPNP INDEPENDENCIA,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040912,TENTATIVA DE VIOLACION SEXUAL,2018,1,1,madrugada,"1/1/2018, 5:30 AM",1,-8577369.022004547,-1344902.7604755035
calle bolognesi con san martín - castilla,20,PIURA,2001,PIURA,200104,CASTILLA,0603,CPNP CASTILLA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050215,ROBO AGRAVADO,2018,1,1,mañana,"1/1/2018, 7:45 AM",1,-8974412.672830984,-579741.001478896
CIUDAD DEL CHOFER MZ. C LOTE 21,14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,0808,CPNP DEL NORTE,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050236,ASALTO Y ROBO DE VEHICULOS,2018,1,1,madrugada,"1/1/2018, 5:20 AM",1,-8890710.13394599,-754498.1798827555
"Los Jasmines Mz T6 Lt 13, San Juan de Miraflores, Perú",15,LIMA,1501,LIMA,150133,SAN JUAN DE MIRAFLORES,2260,CPNP PAMPLONA II,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 9:20 AM",1,-8567482.829865778,-1360628.3674970218
AV. TINGO MARIA / JR. AIJA,15,LIMA,1501,LIMA,150105,BREÑA,1954,CPNP BREÑA,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 7:00 AM",1,-8577240.425728785,-1352364.3383861722
CALE CAJAMRCA CON TRANSVERSAL AMAZONAS,20,PIURA,2006,SULLANA,200602,BELLAVISTA,0732,CPNP BELLAVISTA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10510,DAÑOS,1051001,DAÑO SIMPLE,2018,1,1,mañana,"1/1/2018, 7:30 AM",1,-8981223.110222122,-544899.5314229788
BARRIO EL VOLANTE S/N-EL ALTO.,20,PIURA,2007,TALARA,200702,EL ALTO,0784,CPNP EL ALTO,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050103,HURTO AGRAVADO EN CASA HABITADA,2018,1,1,mañana,"1/1/2018, 9:36 AM",1,-9040954.711084947,-475777.5224520858
"Camelias cruce av. dominicos  Callao 07036, Perú",07,CALLAO,0701,CALLAO,070101,CALLAO,6008,CPNP JUAN INGUNZA VALDIVIA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050209,ROBO DE CELULAR,2018,1,1,mañana,"1/1/2018, 7:40 AM",1,-8582339.701318303,-1347041.064278368
CALLE PRIMAVERA 273 URB. JOSE GALVEZ,15,LIMA,1501,LIMA,150112,INDEPENDENCIA,1855,CPNP INDEPENDENCIA,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040901,VIOLACION SEXUAL,2018,1,1,mañana,"1/1/2018, 8:30 AM",1,-8577369.022004547,-1344902.7604755035
"Av Jose Carlos Mariategui, Cercado de Lima, Perú",15,LIMA,1501,LIMA,150143,VILLA MARIA DEL TRIUNFO,2285,CPNP JOSE CARLOS MARIATEGUI,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 8:30 AM",1,-8565360.26261828,-1361266.049871146
jr. Santa francisca la romana nro. 471 2do. Piso urb. Palomino cercado de lima,15,LIMA,1501,LIMA,150101,LIMA,2025,CPNP PALOMINO,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8579346.72407798,-1352588.2223889553
JR. 8 DE NOVIEMBRE - JULIACA.,21,PUNO,2111,SAN ROMAN,211101,JULIACA,4525,CPNP JULIACA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,2018,1,1,mañana,"1/1/2018, 9:30 AM",1,-7807103.946666101,-1745683.9317683522
ALEXANDER PETION,13,LA LIBERTAD,1301,TRUJILLO,130105,LA ESPERANZA,1113,CPNP JERUSALEN WICHANZAO,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 9:20 AM",1,-8800390.397173917,-899991.5063718383
"28 De Julio, Chorrillos, Perú",15,LIMA,1501,LIMA,150108,CHORRILLOS,2240,CPNP MATEO PUMACAHUA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 9:40 AM",1,-8569834.798308652,-1367769.8990574812
"parque infantil (mariachi), en la calle Alberto grieve - SMP",15,LIMA,1501,LIMA,150110,COMAS,1880,CPNP LA PASCANA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 8:00 AM",1,-8577560.947938623,-1337740.7715784742
CASA ABANDONADA UBICADO EN EL ASENTAMIENTO HUMANO 15 DE MAYO PAYET INDEPENDENCIA,15,LIMA,1501,LIMA,150112,INDEPENDENCIA,1855,CPNP INDEPENDENCIA,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040901,VIOLACION SEXUAL,2018,1,1,mañana,"1/1/2018, 6:00 AM",1,-8577369.022004547,-1344902.7604755035
CALLE ANTUNEZ DE MAYOLO-SJL,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2100,CPNP MARISCAL CACERES,1,FUERO COMUN,118,ADMINISTRACION PUBLICA (DELITO),11801,COMETIDOS POR PARTICULARES,1180109,DESOBEDIENCIA O RESISTENCIA A LA AUTORIDAD,2018,1,1,mañana,"1/1/2018, 8:30 AM",1,-8569718.656791473,-1340088.6144906497
JR. LETICIA NRO. 672 - CERCADO DE LIMA,15,LIMA,1501,LIMA,150101,LIMA,1990,CPNP COTABAMBAS,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10101,HOMICIDIO,1010107,TENTATIVA DE HOMICIDIO,2018,1,1,mañana,"1/1/2018, 7:30 AM",1,-8574842.080695493,-1352157.3256882739
calle las alondra mz. l lote 14 urb. miguel grau,15,LIMA,1501,LIMA,150129,SAN BARTOLO,2312,CPNP SAN BARTOLO,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040909,ACTOS CONTRA EL PUDOR,2018,1,1,mañana,"1/1/2018, 6:00 AM",1,-8546048.982707234,-1389548.4812911265
dario valdizan-smp,15,LIMA,1501,LIMA,150135,SAN MARTIN DE PORRES,1810,CPNP SOL DE ORO,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,2018,1,1,mañana,"1/1/2018, 7:00 AM",1,-8582385.645989094,-1343609.5822433783
"San Martin, Ventanilla, Perú",07,CALLAO,0701,CALLAO,070107,MI PERU,6034,CPNP MI PERU,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10101,HOMICIDIO,1010124,HOMICIDIO POR PAF,2018,1,1,mañana,"1/1/2018, 6:40 AM",1,-8584948.66594512,-1329072.94423183
POR LA ZONA DE SAN ANDRES ATE VITARTE,15,LIMA,1501,LIMA,150103,ATE,2130,CPNP SANTA CLARA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 7:30 AM",1,-8559309.37158248,-1348747.1680562184
"Calle Paita 147, Distrito de Lima 00024, Perú",15,LIMA,1501,LIMA,150126,PUNTA HERMOSA,2308,CPNP PUNTA HERMOSA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 8:00 AM",1,-8552306.281452311,-1384132.0002777975
2 DE MAYO,15,LIMA,1505,CAÑETE,150507,IMPERIAL,2425,CPNP IMPERIAL,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050207,ROBO FRUSTRADO,2018,1,1,madrugada,"1/1/2018, 5:30 AM",1,-8499481.568415714,-1466813.4270876574
av. peru n° 1449-smp,15,LIMA,1501,LIMA,150135,SAN MARTIN DE PORRES,1810,CPNP SOL DE ORO,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,2018,1,1,mañana,"1/1/2018, 9:40 AM",1,-8582385.645989094,-1343609.5822433783
"Las Moreras, SANTA ANITA, Perú",15,LIMA,1501,LIMA,150137,SANTA ANITA,2120,CPNP SANTA ANITA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 9:35 AM",1,-8566682.934870442,-1349384.2638010962
"Sicilia, Cercado de Lima 07031, Perú",07,CALLAO,0701,CALLAO,070101,CALLAO,6036,CPNP OQUENDO,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 6:30 AM",1,-8584551.280075917,-1343272.6928469378
AV. SAN LORENZO DEL MERCADO DE PIURA,20,PIURA,2001,PIURA,200101,PIURA,0645,CPNP LOS ALGARROBOS,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 10:50 AM",1,-8978461.084412407,-577230.7879391805
av. mexico 19,15,LIMA,1501,LIMA,150115,LA VICTORIA,2030,CPNP LA VICTORIA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050107,HURTO AGRAVADO,2018,1,1,mañana,"1/1/2018, 6:45 AM",1,-8574750.587206008,-1354401.8367018392
jr. ramon carcamo cuadra 2 cercado de lima,15,LIMA,1501,LIMA,150101,LIMA,2005,CPNP CONDE DE LA VEGA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 6:00 AM",1,-8577325.56287534,-1350252.2737003425
CALLE CHICLAYO CUADRA 02- URB. ARANJUEZ,13,LA LIBERTAD,1301,TRUJILLO,130101,TRUJILLO,1082,CPNP LA NORIA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8795745.59142057,-905205.0519767798
CALLE CHICLAYO CUADRA 02- URB. ARANJUEZ,13,LA LIBERTAD,1301,TRUJILLO,130101,TRUJILLO,1082,CPNP LA NORIA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8795745.59142057,-905205.0519767798
AV. 1 ERO. DE MAYO Y AV. CENTRAL,15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,2245,CPNP LADERAS DE VILLA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,madrugada,"1/1/2018, 5:30 AM",1,-8565627.287018558,-1367545.0330916168
"Venezuela 218, Callao  Perú",07,CALLAO,0701,CALLAO,070101,CALLAO,6000,CPNP CALLAO,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 11:02 AM",1,-8587421.650696993,-1352490.3839215706
"Miguel Grau, Zarumilla, Perú",24,TUMBES,2403,ZARUMILLA,240301,ZARUMILLA,5820,CPNP ZARUMILLA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,2018,1,1,madrugada,"1/1/2018, 5:00 AM",1,-8936273.31195661,-389824.7943181409
AGRICULTURA Y CHICLAYO - JOSE L. ORTIZ,14,LAMBAYEQUE,1401,CHICLAYO,140105,JOSE LEONARDO ORTIZ,0812,CPNP ATUSPARIA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,tarde,"1/1/2018, 12:00 PM",1,-8885568.397985736,-753944.5243757004
ovalo venezuela,15,LIMA,1501,LIMA,150105,BREÑA,1951,CPNP CHACRA COLORADA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 11:00 AM",1,-8576772.906131348,-1351952.1584341184
MZ A FRENTE A LA AV CANTORAL - 10 DE OCTUBRE,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 9:05 AM",1,-8570931.048497654,-1342172.657466059
zona A - huaycan,15,LIMA,1501,LIMA,150103,ATE,2135,CPNP HUAYCAN,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050201,ROBO,2018,1,1,mañana,"1/1/2018, 11:15 AM",1,-8552059.45597364,-1347303.7657440444
"ASENTAMIENTO HUMANO VILLA VISTA, LA CAMPIÑA SOCABAYA",04,AREQUIPA,0401,AREQUIPA,040122,SOCABAYA,4076,CPNP CIUDAD MI TRABAJO,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010311,LESIONES LEVES,2018,1,1,mañana,"1/1/2018, 7:00 AM",1,-7961417.7657122435,-1858032.1319763726
"ASOC. JESUS Y PAZ B-03, CAMPIÑA -SOCABAYA",04,AREQUIPA,0401,AREQUIPA,040122,SOCABAYA,4076,CPNP CIUDAD MI TRABAJO,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010311,LESIONES LEVES,2018,1,1,madrugada,"1/1/2018, 5:45 AM",1,-7961416.198111174,-1858047.261849785
"ASOC. JESUS Y PAZ MZ. A, LT. 3, LA CAMPIÑA",04,AREQUIPA,0401,AREQUIPA,040122,SOCABAYA,4076,CPNP CIUDAD MI TRABAJO,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 7:45 AM",1,-7961435.941736062,-1857797.51402998
Loza Deportiva la 46 de la 3era Zona de Bayovar-SJL,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,105,PATRIMONIO (DELITO),10510,DAÑOS,1051004,DAÑO AGRAVADO,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8570931.048497654,-1342172.657466059
Loza Deportiva la 46 de la 3era Zona de Bayovar-SJL,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,112,SEGURIDAD PUBLICA (DELITO),11201,PELIGRO COMUN,1120102,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8570931.048497654,-1342172.657466059
"Av. Flores de Primavera 1509, Cercado de Lima 15408, Perú",15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2080,CPNP LA HUAYRONA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050209,ROBO DE CELULAR,2018,1,1,mañana,"1/1/2018, 9:30 AM",1,-8572976.92329517,-1346147.8399371095
calle gullman con santo domingo,20,PIURA,2001,PIURA,200101,PIURA,0600,CPNP PIURA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050216,TENTATIVA DE ROBO,2018,1,1,mañana,"1/1/2018, 11:25 AM",1,-8977306.82374432,-579770.9807909459
"Pje 58, Callao 07041, Perú",07,CALLAO,0701,CALLAO,070101,CALLAO,6012,CPNP BOCANEGRA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,mañana,"1/1/2018, 11:00 AM",1,-8582385.701648839,-1348421.3551831257
AV. SANTA ROSA Y AV. WIESSE,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040905,VIOLACION SEXUAL DE MENOR DE 14 AÑOS,2018,1,1,mañana,"1/1/2018, 11:00 AM",1,-8570915.452636994,-1342158.7746823248
ciudad maje sector 2 mz.f8 lt.8 el pedregal,04,AREQUIPA,0405,CAYLLOMA,040520,MAJES,4004,CPNP PEDREGAL,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 10:00 AM",1,-8041316.927029915,-1832485.2088945038
"Flamencos 624, Santa Anita, Perú",15,LIMA,1501,LIMA,150137,SANTA ANITA,2120,CPNP SANTA ANITA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050203,ROBO AGRAVADO DURANTE LA NOCHE O EN LUGAR DESOLADO,2018,1,1,madrugada,"1/1/2018, 5:00 AM",1,-8567772.759698438,-1351313.7015318177
FRANCISCO CABRERA N° 130,14,LAMBAYEQUE,1401,CHICLAYO,140101,CHICLAYO,0802,CPNP CESAR LLATAS CASTRO,1,FUERO COMUN,104,LIBERTAD (DELITO),10409,VIOLACION DE LA LIBERTAD SEXUAL,1040901,VIOLACION SEXUAL,2018,1,1,tarde,"1/1/2018, 12:00 PM",1,-8888088.337298827,-755863.7905156236
"AV. JOSE GRANDA, URB. CONDEVILLA",15,LIMA,1501,LIMA,150135,SAN MARTIN DE PORRES,1925,CPNP CONDEVILLA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,mañana,"1/1/2018, 9:00 AM",1,-8580784.370773783,-1348274.2363167116
AH. ROSA DE GUADALUPE ALTURA DEL TANQUE ELEVADO,20,PIURA,2001,PIURA,200115,VEINTISEIS DE OCTUBRE,0728,CPNP VEINTISEIS DE OCTUBRE,1,FUERO COMUN,105,PATRIMONIO (DELITO),10502,ROBO,1050207,ROBO FRUSTRADO,2018,1,1,mañana,"1/1/2018, 7:00 AM",1,-8981046.46845413,-577351.9081742741
"Sta. Rosa de Lima 2091, San Juan de Lurigancho, Perú",15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2080,CPNP LA HUAYRONA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,madrugada,"1/1/2018, 5:35 AM",1,-8571694.109320639,-1345301.047809828
PRINCIPAL S/N DEL AH. SAN FRACISCO DE ASÍS,20,PIURA,2008,SECHURA,200803,BERNAL,0651,CPNP BERNAL,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010303,LESIONES LEVES POR VIOLENCIA FAMILIAR,2018,1,1,tarde,"1/1/2018, 12:00 PM",1,-8988800.861731349,-609887.3239097671
"AV. JUAN PABLO II MZ. A5 LT. 18 A, 51 - TRUJILLO",13,LA LIBERTAD,1301,TRUJILLO,130101,TRUJILLO,1088,CPNP EL ALAMBRE,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,madrugada,"1/1/2018, 5:00 AM",1,-8799215.865226561,-907477.4592083677
HUANDOY S/N-FACHADA TARRRAJEO-DOS PISOS-PAMPA  DE LARA-PSANDO EL COLEGIO,15,LIMA,1502,BARRANCA,150201,BARRANCA,2360,CPNP BARRANCA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,2018,1,1,mañana,"1/1/2018, 6:00 AM",1,-8656414.443200516,-1203233.5024000297
15 DE NOVIEMBRE S/N,20,PIURA,2008,SECHURA,200803,BERNAL,0651,CPNP BERNAL,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010303,LESIONES LEVES POR VIOLENCIA FAMILIAR,2018,1,1,tarde,"1/1/2018, 1:40 PM",1,-8988720.155100524,-609711.8647487448
INMEDIACIONES DEL COLEGIO SAUL CANTORAL HUAMANI,15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2090,CPNP CANTO REY,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10101,HOMICIDIO,1010117,HOMICIDIO CULPOSO,2018,1,1,mañana,"1/1/2018, 8:40 AM",1,-8570931.048497654,-1342172.657466059
"interior del hostal taban. a, el y ruta b villa el salvador",15,LIMA,1501,LIMA,150142,VILLA EL SALVADOR,2270,CPNP VILLA EL SALVADOR,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,tarde,"1/1/2018, 2:50 PM",1,-8565093.521192148,-1370325.773591862
"Jesús Morales 487, Lima 15801, Perú",15,LIMA,1501,LIMA,150133,SAN JUAN DE MIRAFLORES,2250,CPNP SAN JUAN DE MIRAFLORES,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050119,HURTO DE VEHICULO,2018,1,1,tarde,"1/1/2018, 2:45 PM",1,-8568775.995217117,-1364607.5694788478
asent. H. buenos aires de villa mz. 67 lt. 2 chorrillos,15,LIMA,1501,LIMA,150108,CHORRILLOS,2240,CPNP MATEO PUMACAHUA,1,FUERO COMUN,101,"VIDA, EL CUERPO Y LA SALUD (DELITO)",10103,LESIONES,1010316,LESIONES,2018,1,1,tarde,"1/1/2018, 2:00 PM",1,-8572465.031080786,-1367071.6494774865
"Sta. Rosa de Lima 2091, San Juan de Lurigancho, Perú",15,LIMA,1501,LIMA,150132,SAN JUAN DE LURIGANCHO,2080,CPNP LA HUAYRONA,1,FUERO COMUN,105,PATRIMONIO (DELITO),10501,HURTO,1050101,HURTO,2018,1,1,madrugada,"1/1/2018, 5:35 AM",1,-8571696.498014271,-1345310.6024174697
